experiment,rep,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,elapsed,strong_speedup,strong_efficiency,weak_efficiency,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
strong,1,omp-basic,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,1.796187155,3.6306341078360513,0.1134573158698766,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-basic,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,1.789716151,3.6437612441259133,0.11386753887893479,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-basic,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,1.789178684,3.644855825367077,0.11390174454272116,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,6.506374702,0.998395000214668,0.998395000214668,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,6.495931972,1.0,1.0,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,6.519441433,0.9963939455179396,0.9963939455179396,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,3.360271029,1.9331571518899644,0.9665785759449822,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,3.441045202,1.8877787389205007,0.9438893694602504,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,3.434337713,1.8914656958198799,0.9457328479099399,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.118902873,3.0657053963039296,0.7664263490759824,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.109068919,3.0799998584588693,0.7699999646147173,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.111453559,3.0765213586210827,0.7691303396552707,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,1.873210732,3.467806296979939,0.43347578712249235,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,1.868925542,3.475757501311949,0.43446968766399363,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,1.87085709,3.4721689896687944,0.4340211237085993,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,1.753544446,3.704458125836407,0.23152863286477543,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,1.753497578,3.7045571396848547,0.23153482123030342,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,1.755017206,3.7013494510435017,0.23133434069021885,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,1,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,1.758511573,3.693994439239326,0.11543732622622893,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,2,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,1.759043023,3.692878393003353,0.11540244978135478,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
strong,3,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,1.758763701,3.693464885764094,0.11542077768012794,,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
weak,1,omp-basic,1,1024,1024,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,0.852336328,,,0.9966007772931625,yes,0.0,1.0,0.0,0.997028724385,145.199419466128,144.983541564106,42165.742792208606,42165.74279309574
weak,2,omp-basic,1,1024,1024,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,0.849466223,,,0.999968008145275,yes,0.0,1.0,0.0,0.997028724385,145.199419466128,144.983541564106,42165.742792208606,42165.74279309574
weak,3,omp-basic,1,1024,1024,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,0.849439047,,,1.0,yes,0.0,1.0,0.0,0.997028724385,145.199419466128,144.983541564106,42165.742792208606,42165.74279309574
weak,1,omp-basic,2,1448,1448,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,2.661782783,,,0.31912410450060374,yes,0.0,1.0,0.0,0.998511809011,205.321054088767,205.168217427823,84313.4704352735,84313.47043608045
weak,2,omp-basic,2,1448,1448,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,2.666388348,,,0.31857289191844307,yes,0.0,1.0,0.0,0.998511809011,205.321054088767,205.168217427823,84313.4704352735,84313.47043608045
weak,3,omp-basic,2,1448,1448,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,2.67407351,,,0.31765732835070787,yes,0.0,1.0,0.0,0.998511809011,205.321054088767,205.168217427823,84313.4704352735,84313.47043608045
weak,1,omp-basic,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.111280657,,,0.4023335524737865,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
weak,2,omp-basic,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.117978346,,,0.40106125192651043,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
weak,3,omp-basic,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.1062137,,,0.40330145369389625,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
