rep,affinity,affinity_description,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,omp_proc_bind,omp_places,gomp_cpu_affinity,allowed_cpus,elapsed,speedup,efficiency,relative_to_best_1t,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
2,spread_cores,Threads espalhadas entre nucleos,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.628318506,1.9344856614415427,0.9672428307207713,1.9344856614415427,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,spread_cores,Threads espalhadas entre nucleos,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,3.657120011,1.9192506955987887,0.9596253477993943,1.9192506955987887,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,spread_cores,Threads espalhadas entre nucleos,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.13901653,3.2813818998397357,0.8203454749599339,3.2813818998397357,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,spread_cores,Threads espalhadas entre nucleos,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.210119988,3.1758140567524693,0.7939535141881173,3.1758140567524693,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,spread_cores,Threads espalhadas entre nucleos,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,2.134826385,3.2878224544709282,0.8219556136177321,3.2878224544709282,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,spread_cores,Threads espalhadas entre nucleos,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.842834921,3.808767700793966,0.47609596259924575,3.808767700793966,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,spread_cores,Threads espalhadas entre nucleos,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.842346179,3.809778099797606,0.47622226247470073,3.809778099797606,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,spread_cores,Threads espalhadas entre nucleos,omp-region,8,2048,2048,1000,524288.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.803823457,3.891140287461069,0.48639253593263365,3.891140287461069,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,spread_cores,Threads espalhadas entre nucleos,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.740154778,4.033509095706428,0.25209431848165176,4.033509095706428,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,spread_cores,Threads espalhadas entre nucleos,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.732204324,4.0520220552226265,0.25325137845141416,4.0520220552226265,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
