case,rep,mode,threads,schedule,chunk,collapse,nx,ny,steps,nu,dt,init,u0,stable,elapsed,speedup,efficiency,initial_min,initial_max,initial_l2,initial_sum,final_min,final_max,final_l2,final_sum
omp,3,omp,2,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.419344446,0.6094248147006875,0.3047124073503438,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.82382825,1.0499563786505257,0.5249781893252629,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.824310448,1.0493421842446427,0.5246710921223213,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.828548847,1.0439743282872493,0.5219871641436247,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.377158081,2.293424878254166,0.5733562195635415,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.438719102,1.9716117261746215,0.4929029315436554,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.392322078,2.2047796300671103,0.5511949075167776,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.383245173,2.25699835755009,0.5642495893875225,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.418429374,2.0672155918002066,0.5168038979500517,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.435120008,1.9879199073741511,0.4969799768435378,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.448454637,1.9288098608733975,0.48220246521834936,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.394861196,2.1906020008104314,0.5476505002026079,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.390945958,2.212540399253853,0.5531350998134632,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.403325148,2.144631274021128,0.536157818505282,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.452131235,1.913125347334165,0.47828133683354124,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.411989347,2.0995293502091448,0.5248823375522862,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.525232508,1.6468587012896772,0.4117146753224193,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.627078846,1.3793859121824052,0.3448464780456013,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.612570894,1.4120548894378255,0.3530137223594564,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.969472614,0.8922208977426566,0.22305522443566414,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.002647681,0.8626995727325678,0.21567489318314195,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.097539522,0.7881116886103351,0.19702792215258377,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.376049722,0.6285991793543634,0.15714979483859084,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.35449201,0.6386037862268379,0.15965094655670947,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.351199261,0.640160005238487,0.16004000130962176,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,4,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.521946143,1.657227929740636,0.414306982435159,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,4,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.486313939,1.77865295775534,0.444663239438835,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,4,guided,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.479388791,1.8043469981758502,0.45108674954396255,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
