rep,m,n,processes,rows_per_process,seq_time,elapsed,speedup,efficiency,speedup_seq,efficiency_seq,speedup_mpi,efficiency_mpi,bcast_time,scatter_time,compute_time,gather_time,validation_time,checksum
2,2000,2000,1,2000,0.002114058,0.010043825,0.2104833566893091,0.2104833566893091,0.2104833566893091,0.2104833566893091,0.985312833175276,0.985312833175276,2.1e-07,0.008127824,0.001908295,6.105e-06,1.185e-06,1230001.153846
3,2000,2000,1,2000,0.002114058,0.00980418,0.21562823203980344,0.21562823203980344,0.21562823203980344,0.21562823203980344,1.009396978295652,1.009396978295652,1.33e-07,0.007909029,0.001883016,1.0602e-05,1.165e-06,1230001.153846
1,2000,2000,2,1000,0.002114058,0.009401785,0.22485708830823084,0.11242854415411542,0.22485708830823084,0.11242854415411542,1.0525990188742527,0.5262995094371263,1.1806e-05,0.008389148,0.000972164,2.0599e-05,1.6287e-05,1230001.153846
2,2000,2000,2,1000,0.002114058,0.009221767,0.2292465207589825,0.11462326037949125,0.2292465207589825,0.11462326037949125,1.073146791354267,0.5365733956771335,1.2354e-05,0.008191397,0.000988891,4.6633e-05,1.6693e-05,1230001.153846
3,2000,2000,2,1000,0.002114058,0.009252809,0.228477427773555,0.1142387138867775,0.228477427773555,0.1142387138867775,1.0695465200531713,0.5347732600265857,1.1476e-05,0.008226848,0.000981435,4.9024e-05,1.7483e-05,1230001.153846
1,2000,2000,4,500,0.002114058,0.009069019,0.23310768231933354,0.058276920579833386,0.23310768231933354,0.058276920579833386,1.091221626800723,0.2728054067001808,1.2405e-05,0.008538751,0.000484798,1.3233e-05,0.004523994,1230001.153846
2,2000,2000,4,500,0.002114058,0.00896936,0.235697753239919,0.05892443830997975,0.235697753239919,0.05892443830997975,1.1033462439534891,0.2758365609883723,1.2966e-05,0.008434547,0.000487568,1.9861e-05,0.004422202,1230001.153846
3,2000,2000,4,500,0.002114058,0.008839472,0.23916111731560438,0.059790279328901096,0.23916111731560438,0.059790279328901096,1.1195589133227264,0.2798897283306816,1.226e-05,0.008294036,0.000499762,1.8911e-05,0.004301748,1230001.153846
1,4000,2000,1,4000,0.004621029,0.019523152,0.23669482263929512,0.23669482263929512,0.23669482263929512,0.23669482263929512,1.0029363598664807,1.0029363598664807,6.9e-08,0.015681653,0.003829697,9.474e-06,1.944e-06,2460001.736264
2,4000,2000,1,4000,0.004621029,0.019923017,0.23194423816433019,0.23194423816433019,0.23194423816433019,0.23194423816433019,0.9828069212609717,0.9828069212609717,1.5e-07,0.016106818,0.003803985,9.816e-06,1.868e-06,2460001.736264
3,4000,2000,1,4000,0.004621029,0.019295268,0.2394902729518968,0.2394902729518968,0.2394902729518968,0.2394902729518968,1.0147813961433445,1.0147813961433445,7.4e-08,0.015478434,0.003805443,9.233e-06,1.747e-06,2460001.736264
1,4000,2000,2,2000,0.004621029,0.017955705,0.2573571463777111,0.12867857318885556,0.2573571463777111,0.12867857318885556,1.0904878978575334,0.5452439489287667,1.1821e-05,0.015881947,0.002025187,4.7664e-05,1.7185e-05,2460001.736264
2,4000,2000,2,2000,0.004621029,0.018366258,0.2516042734453583,0.12580213672267915,0.2516042734453583,0.12580213672267915,1.0661115073086744,0.5330557536543372,1.2202e-05,0.016308801,0.002009659,4.3751e-05,1.7229e-05,2460001.736264
3,4000,2000,2,2000,0.004621029,0.017997635,0.25675756842496245,0.12837878421248122,0.25675756842496245,0.12837878421248122,1.087947333080152,0.543973666540076,1.2428e-05,0.015967566,0.001985532,2.1663e-05,1.7473e-05,2460001.736264
1,4000,2000,4,1000,0.004621029,0.017558392,0.263180648888577,0.06579516222214425,0.263180648888577,0.06579516222214425,1.1151635639527813,0.2787908909881953,1.3942e-05,0.016490039,0.001012379,0.008393635,2.7312e-05,2460001.736264
2,4000,2000,4,1000,0.004621029,0.017297701,0.2671470041018746,0.06678675102546865,0.2671470041018746,0.06678675102546865,1.1319700230683836,0.2829925057670959,1.3574e-05,0.016216023,0.001021693,0.008286153,2.7338e-05,2460001.736264
3,4000,2000,4,1000,0.004621029,0.017308403,0.2669818237996885,0.06674545594992212,0.2669818237996885,0.06674545594992212,1.131270111979713,0.28281752799492826,1.4597e-05,0.016215337,0.001032351,0.008290841,3.0259e-05,2460001.736264
