version,rep,m,n,processes,cols_per_process,seq_time,elapsed,speedup,efficiency,checksum
cols_vector,2,2000,2000,2,1000,0.002706051,0.009179426,0.29479523011569575,0.14739761505784787,1230001.153846
cols_vector,3,2000,2000,2,1000,0.002706051,0.009028045,0.29973831543817075,0.14986915771908538,1230001.153846
cols_resized,1,2000,2000,2,1000,0.002706051,0.009038318,0.299397631284936,0.149698815642468,1230001.153846
cols_resized,2,2000,2000,2,1000,0.002706051,0.009070171,0.2983461943551009,0.14917309717755045,1230001.153846
cols_resized,3,2000,2000,2,1000,0.002706051,0.009004133,0.3005343212944545,0.15026716064722725,1230001.153846
cols_vector,1,2000,2000,4,500,0.002706051,0.008290998,0.3263842302217417,0.08159605755543542,1230001.153846
cols_vector,2,2000,2000,4,500,0.002706051,0.008256999,0.32772814917381005,0.08193203729345251,1230001.153846
cols_vector,3,2000,2000,4,500,0.002706051,0.008291821,0.3263518351397118,0.08158795878492794,1230001.153846
cols_resized,1,2000,2000,4,500,0.002706051,0.00834843,0.32413890995073324,0.08103472748768331,1230001.153846
cols_resized,2,2000,2000,4,500,0.002706051,0.008437979,0.32069894935742316,0.08017473733935579,1230001.153846
cols_resized,3,2000,2000,4,500,0.002706051,0.008423114,0.32126491461471374,0.08031622865367843,1230001.153846
cols_vector,1,4000,2000,1,2000,0.004050016,0.020835619,0.19437944224263268,0.19437944224263268,2460001.736264
cols_vector,2,4000,2000,1,2000,0.004050016,0.020354467,0.19897430868614735,0.19897430868614735,2460001.736264
cols_vector,3,4000,2000,1,2000,0.004050016,0.020359953,0.198920694954453,0.198920694954453,2460001.736264
cols_resized,1,4000,2000,1,2000,0.004050016,0.020623589,0.1963778467462671,0.1963778467462671,2460001.736264
cols_resized,2,4000,2000,1,2000,0.004050016,0.020279171,0.19971309478084684,0.19971309478084684,2460001.736264
cols_resized,3,4000,2000,1,2000,0.004050016,0.020458398,0.19796349645754277,0.19796349645754277,2460001.736264
cols_vector,1,4000,2000,2,1000,0.004050016,0.018144633,0.22320738038625526,0.11160369019312763,2460001.736264
cols_vector,2,4000,2000,2,1000,0.004050016,0.018146712,0.22318180836285936,0.11159090418142968,2460001.736264
cols_vector,3,4000,2000,2,1000,0.004050016,0.017863649,0.22671829255041903,0.11335914627520952,2460001.736264
cols_resized,1,4000,2000,2,1000,0.004050016,0.017891283,0.22636811457289005,0.11318405728644503,2460001.736264
cols_resized,2,4000,2000,2,1000,0.004050016,0.017950969,0.2256154528482557,0.11280772642412785,2460001.736264
cols_resized,3,4000,2000,2,1000,0.004050016,0.017918112,0.22602917093050875,0.11301458546525438,2460001.736264
cols_vector,1,4000,2000,4,500,0.004050016,0.016658657,0.24311779755114712,0.06077944938778678,2460001.736264
cols_vector,2,4000,2000,4,500,0.004050016,0.016358089,0.24758491043788797,0.06189622760947199,2460001.736264
cols_vector,3,4000,2000,4,500,0.004050016,0.016440834,0.24633884144806764,0.06158471036201691,2460001.736264
cols_resized,1,4000,2000,4,500,0.004050016,0.016639784,0.24339354405081218,0.060848386012703044,2460001.736264
cols_resized,2,4000,2000,4,500,0.004050016,0.016358575,0.2475775548909364,0.0618943887227341,2460001.736264
cols_resized,3,4000,2000,4,500,0.004050016,0.016678353,0.2428306919754007,0.06070767299385017,2460001.736264
